"Name";"Solution_Found";"End_Reason";"Actions";"Cost";"Expanded";"Max_Depth";"Max_Frontier";"Runtime";"Final_State"
"Breadth First Search";FALSE;"Iterations";NA;NA;2500;9;5002;0.3935;"?"
"Breadth First Search + GS";TRUE;"Solution";12;76495;47;12;9;0.0056;"11,12,0"
"Depth First Search";FALSE;"Iterations";NA;NA;2500;2499;1251;0.2199;"?"
"Depth First Search + GS";TRUE;"Solution";14;76735;21;14;11;0.0021;"11,12,0"
"Depth Limited Search - Limit=20";FALSE;"Iterations";NA;NA;2500;20;20;0.0906;"?"
"Depth Limited Search - Limit=20 + GS";TRUE;"Solution";14;76735;21;14;11;0.0022;"11,12,0"
"Iterative Deepening Search - Final Limit=9";FALSE;"Iterations";NA;NA;2500;9;14;0.0916;"?"
"Iterative Deepening Search - Final Limit=15 + GS";TRUE;"Solution";14;76735;301;14;11;0.0345;"11,12,0"
"Uniform Cost Search";FALSE;"Iterations";NA;NA;2500;9;4885;3.6369;"?"
"Uniform Cost Search + GS";TRUE;"Solution";19;2280;29;19;6;0.0097;"11,12,0"
"Greedy Best-First Search";FALSE;"Iterations";NA;NA;2500;16;4999;3.6538;"?"
"Greedy Best-First Search + GS";TRUE;"Solution";12;76495;15;12;10;0.002;"11,12,0"
"A* Search";FALSE;"Iterations";NA;NA;2500;10;4697;4.1533;"?"
"A* Search + GS";TRUE;"Solution";19;2280;23;19;7;0.0028;"11,12,0"
